n_dimensions,n_samples,n_neigbors,leaf_size,algorithm,score,time_fit,time_predict
4,200,3,2,ball_tree,0.69,0.006998538970947266,0.006998538970947266
4,200,7,2,ball_tree,0.65,0.008000850677490234,0.008000850677490234
4,200,9,2,ball_tree,0.6,0.008005857467651367,0.008005857467651367
4,200,27,2,ball_tree,0.48,0.006997585296630859,0.006997585296630859
4,200,65,2,ball_tree,0.52,0.007994890213012695,0.007994890213012695
4,200,99,2,ball_tree,0.52,0.007999897003173828,0.007999897003173828
4,200,3,30,ball_tree,0.69,0.009002208709716797,0.009002208709716797
4,200,7,30,ball_tree,0.65,0.013000249862670898,0.013000249862670898
4,200,9,30,ball_tree,0.6,0.01299905776977539,0.01299905776977539
4,200,27,30,ball_tree,0.48,0.018999099731445312,0.018999099731445312
4,200,65,30,ball_tree,0.52,0.012001514434814453,0.012001514434814453
4,200,99,30,ball_tree,0.52,0.008999109268188477,0.008999109268188477
4,200,3,100,ball_tree,0.69,0.009000062942504883,0.009000062942504883
4,200,7,100,ball_tree,0.65,0.006998777389526367,0.006998777389526367
4,200,9,100,ball_tree,0.6,0.0070002079010009766,0.0070002079010009766
4,200,27,100,ball_tree,0.48,0.006999969482421875,0.006999969482421875
4,200,65,100,ball_tree,0.52,0.0070002079010009766,0.0070002079010009766
4,200,99,100,ball_tree,0.52,0.006999015808105469,0.006999015808105469
4,200,3,2,kd_tree,0.69,0.008000612258911133,0.008000612258911133
4,200,7,2,kd_tree,0.65,0.006999015808105469,0.006999015808105469
4,200,9,2,kd_tree,0.6,0.012999773025512695,0.012999773025512695
4,200,27,2,kd_tree,0.48,0.01000070571899414,0.01000070571899414
4,200,65,2,kd_tree,0.52,0.0110015869140625,0.0110015869140625
4,200,99,2,kd_tree,0.52,0.011997699737548828,0.011997699737548828
4,200,3,30,kd_tree,0.69,0.009001493453979492,0.009001493453979492
4,200,7,30,kd_tree,0.65,0.012999534606933594,0.012999534606933594
4,200,9,30,kd_tree,0.6,0.0110015869140625,0.0110015869140625
4,200,27,30,kd_tree,0.48,0.006997108459472656,0.006997108459472656
4,200,65,30,kd_tree,0.52,0.011001110076904297,0.011001110076904297
4,200,99,30,kd_tree,0.52,0.007999420166015625,0.007999420166015625
4,200,3,100,kd_tree,0.69,0.009999990463256836,0.009999990463256836
4,200,7,100,kd_tree,0.65,0.0069997310638427734,0.0069997310638427734
4,200,9,100,kd_tree,0.6,0.007998943328857422,0.007998943328857422
4,200,27,100,kd_tree,0.48,0.009000539779663086,0.009000539779663086
4,200,65,100,kd_tree,0.52,0.009000062942504883,0.009000062942504883
4,200,99,100,kd_tree,0.52,0.00699925422668457,0.00699925422668457
4,200,3,2,brute,0.69,0.006999492645263672,0.006999492645263672
4,200,7,2,brute,0.65,0.005999088287353516,0.005999088287353516
4,200,9,2,brute,0.6,0.007001638412475586,0.007001638412475586
4,200,27,2,brute,0.48,0.006999015808105469,0.006999015808105469
4,200,65,2,brute,0.52,0.0070002079010009766,0.0070002079010009766
4,200,99,2,brute,0.52,0.008000612258911133,0.008000612258911133
4,200,3,30,brute,0.69,0.0060002803802490234,0.0060002803802490234
4,200,7,30,brute,0.65,0.0070002079010009766,0.0070002079010009766
4,200,9,30,brute,0.6,0.006999492645263672,0.006999492645263672
4,200,27,30,brute,0.48,0.005999565124511719,0.005999565124511719
4,200,65,30,brute,0.52,0.008000612258911133,0.008000612258911133
4,200,99,30,brute,0.52,0.006999969482421875,0.006999969482421875
4,200,3,100,brute,0.69,0.0069997310638427734,0.0069997310638427734
4,200,7,100,brute,0.65,0.005999088287353516,0.005999088287353516
4,200,9,100,brute,0.6,0.0060002803802490234,0.0060002803802490234
4,200,27,100,brute,0.48,0.006000518798828125,0.006000518798828125
4,200,65,100,brute,0.52,0.007000446319580078,0.007000446319580078
4,200,99,100,brute,0.52,0.0070002079010009766,0.0070002079010009766
4,400,3,2,ball_tree,0.725,0.010998964309692383,0.010998964309692383
4,400,7,2,ball_tree,0.73,0.013001203536987305,0.013001203536987305
4,400,9,2,ball_tree,0.725,0.01299905776977539,0.01299905776977539
4,400,27,2,ball_tree,0.53,0.013000726699829102,0.013000726699829102
4,400,65,2,ball_tree,0.495,0.01800084114074707,0.01800084114074707
4,400,99,2,ball_tree,0.595,0.01599860191345215,0.01599860191345215
4,400,3,30,ball_tree,0.725,0.011999368667602539,0.011999368667602539
4,400,7,30,ball_tree,0.73,0.01200103759765625,0.01200103759765625
4,400,9,30,ball_tree,0.725,0.011999368667602539,0.011999368667602539
4,400,27,30,ball_tree,0.53,0.01300048828125,0.01300048828125
4,400,65,30,ball_tree,0.495,0.014000177383422852,0.014000177383422852
4,400,99,30,ball_tree,0.595,0.01399993896484375,0.01399993896484375
4,400,3,100,ball_tree,0.725,0.010998010635375977,0.010998010635375977
4,400,7,100,ball_tree,0.73,0.013002872467041016,0.013002872467041016
4,400,9,100,ball_tree,0.725,0.011998414993286133,0.011998414993286133
4,400,27,100,ball_tree,0.53,0.014002084732055664,0.014002084732055664
4,400,65,100,ball_tree,0.495,0.012998342514038086,0.012998342514038086
4,400,99,100,ball_tree,0.595,0.014999866485595703,0.014999866485595703
4,400,3,2,kd_tree,0.725,0.012001276016235352,0.012001276016235352
4,400,7,2,kd_tree,0.73,0.012998580932617188,0.012998580932617188
4,400,9,2,kd_tree,0.725,0.01200103759765625,0.01200103759765625
4,400,27,2,kd_tree,0.53,0.013999700546264648,0.013999700546264648
4,400,65,2,kd_tree,0.495,0.014999866485595703,0.014999866485595703
4,400,99,2,kd_tree,0.595,0.017999887466430664,0.017999887466430664
4,400,3,30,kd_tree,0.725,0.013000249862670898,0.013000249862670898
4,400,7,30,kd_tree,0.73,0.01399993896484375,0.01399993896484375
4,400,9,30,kd_tree,0.725,0.012999296188354492,0.012999296188354492
4,400,27,30,kd_tree,0.53,0.01299905776977539,0.01299905776977539
4,400,65,30,kd_tree,0.495,0.01300191879272461,0.01300191879272461
4,400,99,30,kd_tree,0.595,0.013999223709106445,0.013999223709106445
4,400,3,100,kd_tree,0.725,0.011999130249023438,0.011999130249023438
4,400,7,100,kd_tree,0.73,0.011000871658325195,0.011000871658325195
4,400,9,100,kd_tree,0.725,0.011998653411865234,0.011998653411865234
4,400,27,100,kd_tree,0.53,0.013000249862670898,0.013000249862670898
4,400,65,100,kd_tree,0.495,0.014000654220581055,0.014000654220581055
4,400,99,100,kd_tree,0.595,0.014999151229858398,0.014999151229858398
4,400,3,2,brute,0.725,0.01199960708618164,0.01199960708618164
4,400,7,2,brute,0.73,0.014001131057739258,0.014001131057739258
4,400,9,2,brute,0.725,0.011999845504760742,0.011999845504760742
4,400,27,2,brute,0.53,0.012999773025512695,0.012999773025512695
4,400,65,2,brute,0.495,0.014000415802001953,0.014000415802001953
4,400,99,2,brute,0.595,0.016998767852783203,0.016998767852783203
4,400,3,30,brute,0.725,0.015001535415649414,0.015001535415649414
4,400,7,30,brute,0.73,0.014000177383422852,0.014000177383422852
4,400,9,30,brute,0.725,0.014002561569213867,0.014002561569213867
4,400,27,30,brute,0.53,0.018002748489379883,0.018002748489379883
4,400,65,30,brute,0.495,0.013998270034790039,0.013998270034790039
4,400,99,30,brute,0.595,0.0180056095123291,0.0180056095123291
4,400,3,100,brute,0.725,0.014993906021118164,0.014993906021118164
4,400,7,100,brute,0.73,0.012997627258300781,0.012997627258300781
4,400,9,100,brute,0.725,0.014999866485595703,0.014999866485595703
4,400,27,100,brute,0.53,0.01600027084350586,0.01600027084350586
4,400,65,100,brute,0.495,0.017000436782836914,0.017000436782836914
4,400,99,100,brute,0.595,0.0169985294342041,0.0169985294342041
4,1000,3,2,ball_tree,0.716,0.03700399398803711,0.03700399398803711
4,1000,7,2,ball_tree,0.732,0.03499484062194824,0.03499484062194824
4,1000,9,2,ball_tree,0.712,0.03000020980834961,0.03000020980834961
4,1000,27,2,ball_tree,0.736,0.03199887275695801,0.03199887275695801
4,1000,65,2,ball_tree,0.518,0.03600144386291504,0.03600144386291504
4,1000,99,2,ball_tree,0.388,0.037998199462890625,0.037998199462890625
4,1000,3,30,ball_tree,0.716,0.0279998779296875,0.0279998779296875
4,1000,7,30,ball_tree,0.732,0.030000686645507812,0.030000686645507812
4,1000,9,30,ball_tree,0.712,0.02700018882751465,0.02700018882751465
4,1000,27,30,ball_tree,0.736,0.028998613357543945,0.028998613357543945
4,1000,65,30,ball_tree,0.518,0.03400111198425293,0.03400111198425293
4,1000,99,30,ball_tree,0.388,0.03599977493286133,0.03599977493286133
4,1000,3,100,ball_tree,0.716,0.0280001163482666,0.0280001163482666
4,1000,7,100,ball_tree,0.732,0.0279998779296875,0.0279998779296875
4,1000,9,100,ball_tree,0.712,0.029000282287597656,0.029000282287597656
4,1000,27,100,ball_tree,0.736,0.04099917411804199,0.04099917411804199
4,1000,65,100,ball_tree,0.518,0.03299975395202637,0.03299975395202637
4,1000,99,100,ball_tree,0.388,0.037000417709350586,0.037000417709350586
4,1000,3,2,kd_tree,0.716,0.0279996395111084,0.0279996395111084
4,1000,7,2,kd_tree,0.732,0.026999711990356445,0.026999711990356445
4,1000,9,2,kd_tree,0.712,0.028000593185424805,0.028000593185424805
4,1000,27,2,kd_tree,0.736,0.030999422073364258,0.030999422073364258
4,1000,65,2,kd_tree,0.518,0.03500032424926758,0.03500032424926758
4,1000,99,2,kd_tree,0.388,0.0390009880065918,0.0390009880065918
4,1000,3,30,kd_tree,0.716,0.02700042724609375,0.02700042724609375
4,1000,7,30,kd_tree,0.732,0.027998924255371094,0.027998924255371094
4,1000,9,30,kd_tree,0.712,0.02700042724609375,0.02700042724609375
4,1000,27,30,kd_tree,0.736,0.02900075912475586,0.02900075912475586
4,1000,65,30,kd_tree,0.518,0.03199887275695801,0.03199887275695801
4,1000,99,30,kd_tree,0.388,0.03299975395202637,0.03299975395202637
4,1000,3,100,kd_tree,0.716,0.02700018882751465,0.02700018882751465
4,1000,7,100,kd_tree,0.732,0.02700185775756836,0.02700185775756836
4,1000,9,100,kd_tree,0.712,0.027998685836791992,0.027998685836791992
4,1000,27,100,kd_tree,0.736,0.029000043869018555,0.029000043869018555
4,1000,65,100,kd_tree,0.518,0.03200173377990723,0.03200173377990723
4,1000,99,100,kd_tree,0.388,0.03499865531921387,0.03499865531921387
4,1000,3,2,brute,0.716,0.030998706817626953,0.030998706817626953
4,1000,7,2,brute,0.732,0.03500175476074219,0.03500175476074219
4,1000,9,2,brute,0.712,0.03599905967712402,0.03599905967712402
4,1000,27,2,brute,0.736,0.03500103950500488,0.03500103950500488
4,1000,65,2,brute,0.518,0.03999805450439453,0.03999805450439453
4,1000,99,2,brute,0.388,0.04800152778625488,0.04800152778625488
4,1000,3,30,brute,0.716,0.03499937057495117,0.03499937057495117
4,1000,7,30,brute,0.732,0.03400015830993652,0.03400015830993652
4,1000,9,30,brute,0.712,0.032999277114868164,0.032999277114868164
4,1000,27,30,brute,0.736,0.03400015830993652,0.03400015830993652
4,1000,65,30,brute,0.518,0.03699994087219238,0.03699994087219238
4,1000,99,30,brute,0.388,0.04200291633605957,0.04200291633605957
4,1000,3,100,brute,0.716,0.03299880027770996,0.03299880027770996
4,1000,7,100,brute,0.732,0.03199887275695801,0.03199887275695801
4,1000,9,100,brute,0.712,0.033998727798461914,0.033998727798461914
4,1000,27,100,brute,0.736,0.03500199317932129,0.03500199317932129
4,1000,65,100,brute,0.518,0.03599953651428223,0.03599953651428223
4,1000,99,100,brute,0.388,0.040999650955200195,0.040999650955200195
4,2000,3,2,ball_tree,0.737,0.053998708724975586,0.053998708724975586
4,2000,7,2,ball_tree,0.76,0.05299949645996094,0.05299949645996094
4,2000,9,2,ball_tree,0.757,0.055001258850097656,0.055001258850097656
4,2000,27,2,ball_tree,0.761,0.05800223350524902,0.05800223350524902
4,2000,65,2,ball_tree,0.747,0.07199692726135254,0.07199692726135254
4,2000,99,2,ball_tree,0.716,0.07900047302246094,0.07900047302246094
4,2000,3,30,ball_tree,0.737,0.05600142478942871,0.05600142478942871
4,2000,7,30,ball_tree,0.76,0.0579986572265625,0.0579986572265625
4,2000,9,30,ball_tree,0.757,0.061000823974609375,0.061000823974609375
4,2000,27,30,ball_tree,0.761,0.061998605728149414,0.061998605728149414
4,2000,65,30,ball_tree,0.747,0.06900453567504883,0.06900453567504883
4,2000,99,30,ball_tree,0.716,0.07399940490722656,0.07399940490722656
4,2000,3,100,ball_tree,0.737,0.05599570274353027,0.05599570274353027
4,2000,7,100,ball_tree,0.76,0.06600189208984375,0.06600189208984375
4,2000,9,100,ball_tree,0.757,0.07699918746948242,0.07699918746948242
4,2000,27,100,ball_tree,0.761,0.07700228691101074,0.07700228691101074
4,2000,65,100,ball_tree,0.747,0.06599807739257812,0.06599807739257812
4,2000,99,100,ball_tree,0.716,0.07200026512145996,0.07200026512145996
4,2000,3,2,kd_tree,0.737,0.05199885368347168,0.05199885368347168
4,2000,7,2,kd_tree,0.76,0.05299997329711914,0.05299997329711914
4,2000,9,2,kd_tree,0.757,0.05600166320800781,0.05600166320800781
4,2000,27,2,kd_tree,0.761,0.061998844146728516,0.061998844146728516
4,2000,65,2,kd_tree,0.747,0.07299971580505371,0.07299971580505371
4,2000,99,2,kd_tree,0.716,0.07900023460388184,0.07900023460388184
4,2000,3,30,kd_tree,0.737,0.05199933052062988,0.05199933052062988
4,2000,7,30,kd_tree,0.76,0.053000450134277344,0.053000450134277344
4,2000,9,30,kd_tree,0.757,0.05300283432006836,0.05300283432006836
4,2000,27,30,kd_tree,0.761,0.06399822235107422,0.06399822235107422
4,2000,65,30,kd_tree,0.747,0.069000244140625,0.069000244140625
4,2000,99,30,kd_tree,0.716,0.07799959182739258,0.07799959182739258
4,2000,3,100,kd_tree,0.737,0.061000823974609375,0.061000823974609375
4,2000,7,100,kd_tree,0.76,0.0619959831237793,0.0619959831237793
4,2000,9,100,kd_tree,0.757,0.05899786949157715,0.05899786949157715
4,2000,27,100,kd_tree,0.761,0.06200122833251953,0.06200122833251953
4,2000,65,100,kd_tree,0.747,0.06799983978271484,0.06799983978271484
4,2000,99,100,kd_tree,0.716,0.07300019264221191,0.07300019264221191
4,2000,3,2,brute,0.737,0.07999968528747559,0.07999968528747559
4,2000,7,2,brute,0.76,0.08700275421142578,0.08700275421142578
4,2000,9,2,brute,0.757,0.09399795532226562,0.09399795532226562
4,2000,27,2,brute,0.761,0.10199975967407227,0.10199975967407227
4,2000,65,2,brute,0.747,0.13300061225891113,0.13300061225891113
4,2000,99,2,brute,0.716,0.09999966621398926,0.09999966621398926
