n_dimensions,n_samples,n_neigbors,leaf_size,algorithm,score,time_fit,time_predict
2,200,3,2,ball_tree,0.93,0.009998559951782227,0.009998559951782227
2,200,7,2,ball_tree,0.93,0.00599980354309082,0.00599980354309082
2,200,9,2,ball_tree,0.94,0.0069997310638427734,0.0069997310638427734
2,200,27,2,ball_tree,0.92,0.007000446319580078,0.007000446319580078
2,200,65,2,ball_tree,0.91,0.006998777389526367,0.006998777389526367
2,200,99,2,ball_tree,0.46,0.008000373840332031,0.008000373840332031
2,200,3,30,ball_tree,0.93,0.006000041961669922,0.006000041961669922
2,200,7,30,ball_tree,0.93,0.006999969482421875,0.006999969482421875
2,200,9,30,ball_tree,0.94,0.00600123405456543,0.00600123405456543
2,200,27,30,ball_tree,0.92,0.006998300552368164,0.006998300552368164
2,200,65,30,ball_tree,0.91,0.007001638412475586,0.007001638412475586
2,200,99,30,ball_tree,0.46,0.007999658584594727,0.007999658584594727
2,200,3,100,ball_tree,0.93,0.005999088287353516,0.005999088287353516
2,200,7,100,ball_tree,0.93,0.007000446319580078,0.007000446319580078
2,200,9,100,ball_tree,0.94,0.006999969482421875,0.006999969482421875
2,200,27,100,ball_tree,0.92,0.00599980354309082,0.00599980354309082
2,200,65,100,ball_tree,0.91,0.007999658584594727,0.007999658584594727
2,200,99,100,ball_tree,0.46,0.006999969482421875,0.006999969482421875
2,200,3,2,kd_tree,0.93,0.00599980354309082,0.00599980354309082
2,200,7,2,kd_tree,0.93,0.0070002079010009766,0.0070002079010009766
2,200,9,2,kd_tree,0.94,0.006000041961669922,0.006000041961669922
2,200,27,2,kd_tree,0.92,0.007000923156738281,0.007000923156738281
2,200,65,2,kd_tree,0.91,0.006999015808105469,0.006999015808105469
2,200,99,2,kd_tree,0.46,0.008000373840332031,0.008000373840332031
2,200,3,30,kd_tree,0.93,0.006999492645263672,0.006999492645263672
2,200,7,30,kd_tree,0.93,0.007001161575317383,0.007001161575317383
2,200,9,30,kd_tree,0.94,0.0070002079010009766,0.0070002079010009766
2,200,27,30,kd_tree,0.92,0.007004499435424805,0.007004499435424805
2,200,65,30,kd_tree,0.91,0.007994651794433594,0.007994651794433594
2,200,99,30,kd_tree,0.46,0.009001970291137695,0.009001970291137695
2,200,3,100,kd_tree,0.93,0.00799870491027832,0.00799870491027832
2,200,7,100,kd_tree,0.93,0.005998849868774414,0.005998849868774414
2,200,9,100,kd_tree,0.94,0.008001089096069336,0.008001089096069336
2,200,27,100,kd_tree,0.92,0.00699925422668457,0.00699925422668457
2,200,65,100,kd_tree,0.91,0.008002996444702148,0.008002996444702148
2,200,99,100,kd_tree,0.46,0.007999420166015625,0.007999420166015625
2,200,3,2,brute,0.93,0.007003307342529297,0.007003307342529297
2,200,7,2,brute,0.93,0.007994413375854492,0.007994413375854492
2,200,9,2,brute,0.94,0.007008075714111328,0.007008075714111328
2,200,27,2,brute,0.92,0.007993221282958984,0.007993221282958984
2,200,65,2,brute,0.91,0.006999969482421875,0.006999969482421875
2,200,99,2,brute,0.46,0.007998943328857422,0.007998943328857422
2,200,3,30,brute,0.93,0.007000446319580078,0.007000446319580078
2,200,7,30,brute,0.93,0.006003618240356445,0.006003618240356445
2,200,9,30,brute,0.94,0.006997585296630859,0.006997585296630859
2,200,27,30,brute,0.92,0.0070095062255859375,0.0070095062255859375
2,200,65,30,brute,0.91,0.007989168167114258,0.007989168167114258
2,200,99,30,brute,0.46,0.007000446319580078,0.007000446319580078
2,200,3,100,brute,0.93,0.0060002803802490234,0.0060002803802490234
2,200,7,100,brute,0.93,0.007000446319580078,0.007000446319580078
2,200,9,100,brute,0.94,0.007006168365478516,0.007006168365478516
2,200,27,100,brute,0.92,0.006991863250732422,0.006991863250732422
2,200,65,100,brute,0.91,0.007005453109741211,0.007005453109741211
2,200,99,100,brute,0.46,0.007994413375854492,0.007994413375854492
2,400,3,2,ball_tree,0.975,0.011002063751220703,0.011002063751220703
2,400,7,2,ball_tree,0.975,0.011995553970336914,0.011995553970336914
2,400,9,2,ball_tree,0.975,0.013000011444091797,0.013000011444091797
2,400,27,2,ball_tree,0.975,0.013000249862670898,0.013000249862670898
2,400,65,2,ball_tree,0.95,0.014000892639160156,0.014000892639160156
2,400,99,2,ball_tree,0.945,0.014998912811279297,0.014998912811279297
2,400,3,30,ball_tree,0.975,0.012000322341918945,0.012000322341918945
2,400,7,30,ball_tree,0.975,0.011000871658325195,0.011000871658325195
2,400,9,30,ball_tree,0.975,0.010999679565429688,0.010999679565429688
2,400,27,30,ball_tree,0.975,0.011999130249023438,0.011999130249023438
2,400,65,30,ball_tree,0.95,0.013000249862670898,0.013000249862670898
2,400,99,30,ball_tree,0.945,0.01399993896484375,0.01399993896484375
2,400,3,100,ball_tree,0.975,0.010999441146850586,0.010999441146850586
2,400,7,100,ball_tree,0.975,0.01100015640258789,0.01100015640258789
2,400,9,100,ball_tree,0.975,0.011000394821166992,0.011000394821166992
2,400,27,100,ball_tree,0.975,0.010999679565429688,0.010999679565429688
2,400,65,100,ball_tree,0.95,0.012999773025512695,0.012999773025512695
2,400,99,100,ball_tree,0.945,0.014000415802001953,0.014000415802001953
2,400,3,2,kd_tree,0.975,0.009999990463256836,0.009999990463256836
2,400,7,2,kd_tree,0.975,0.009999513626098633,0.009999513626098633
2,400,9,2,kd_tree,0.975,0.011000394821166992,0.011000394821166992
2,400,27,2,kd_tree,0.975,0.012000083923339844,0.012000083923339844
2,400,65,2,kd_tree,0.95,0.014001607894897461,0.014001607894897461
2,400,99,2,kd_tree,0.945,0.018999099731445312,0.018999099731445312
2,400,3,30,kd_tree,0.975,0.012999296188354492,0.012999296188354492
2,400,7,30,kd_tree,0.975,0.012000560760498047,0.012000560760498047
2,400,9,30,kd_tree,0.975,0.012009382247924805,0.012009382247924805
2,400,27,30,kd_tree,0.975,0.011989831924438477,0.011989831924438477
2,400,65,30,kd_tree,0.95,0.014000177383422852,0.014000177383422852
2,400,99,30,kd_tree,0.945,0.015000104904174805,0.015000104904174805
2,400,3,100,kd_tree,0.975,0.011008501052856445,0.011008501052856445
2,400,7,100,kd_tree,0.975,0.011993169784545898,0.011993169784545898
2,400,9,100,kd_tree,0.975,0.011997699737548828,0.011997699737548828
2,400,27,100,kd_tree,0.975,0.01300048828125,0.01300048828125
2,400,65,100,kd_tree,0.95,0.014010190963745117,0.014010190963745117
2,400,99,100,kd_tree,0.945,0.013998985290527344,0.013998985290527344
2,400,3,2,brute,0.975,0.011991024017333984,0.011991024017333984
2,400,7,2,brute,0.975,0.013001680374145508,0.013001680374145508
2,400,9,2,brute,0.975,0.011000394821166992,0.011000394821166992
2,400,27,2,brute,0.975,0.012007713317871094,0.012007713317871094
2,400,65,2,brute,0.95,0.012988805770874023,0.012988805770874023
2,400,99,2,brute,0.945,0.015000343322753906,0.015000343322753906
2,400,3,30,brute,0.975,0.010998964309692383,0.010998964309692383
2,400,7,30,brute,0.975,0.011000394821166992,0.011000394821166992
2,400,9,30,brute,0.975,0.01100015640258789,0.01100015640258789
2,400,27,30,brute,0.975,0.012000083923339844,0.012000083923339844
2,400,65,30,brute,0.95,0.011999130249023438,0.011999130249023438
2,400,99,30,brute,0.945,0.012000322341918945,0.012000322341918945
2,400,3,100,brute,0.975,0.011000394821166992,0.011000394821166992
2,400,7,100,brute,0.975,0.01100015640258789,0.01100015640258789
2,400,9,100,brute,0.975,0.011001348495483398,0.011001348495483398
2,400,27,100,brute,0.975,0.01199960708618164,0.01199960708618164
2,400,65,100,brute,0.95,0.011999368667602539,0.011999368667602539
2,400,99,100,brute,0.945,0.01300668716430664,0.01300668716430664
2,1000,3,2,ball_tree,0.984,0.023998737335205078,0.023998737335205078
2,1000,7,2,ball_tree,0.976,0.026000499725341797,0.026000499725341797
2,1000,9,2,ball_tree,0.972,0.025999784469604492,0.025999784469604492
2,1000,27,2,ball_tree,0.976,0.026999473571777344,0.026999473571777344
2,1000,65,2,ball_tree,0.954,0.030999422073364258,0.030999422073364258
2,1000,99,2,ball_tree,0.948,0.036000728607177734,0.036000728607177734
2,1000,3,30,ball_tree,0.984,0.02499985694885254,0.02499985694885254
